Altura,Aprox. RK4,Aprox. RK45,Valor Verdadero
0.0,101325.0,101325.0,101325.0
100.0,100150.23523173868,100150.23522928591,100150.235231557
200.0,98987.11573700773,98987.11571139522,98987.11573664707
300.0,97835.54572237791,97835.54567530629,97835.54572184091
400.0,96695.4300202651,96695.42997083964,96695.4300195544
500.0,95566.67408590452,95566.6740540788,95566.67408502272
600.0,94449.18399433426,94449.18398737018,94449.18399328394
700.0,93342.86643738845,93342.86636303824,93342.86643617213
800.0,92247.62872069975,92247.62623108344,92247.62871931998
900.0,91163.37876071132,91163.37121398297,91163.37875917062
1000.0,90090.02508169823,90090.01075466476,90090.02507999906
1100.0,89027.47681279822,89027.45478951371,89027.47681094304
1200.0,87975.64368505188,87975.61374837163,87975.64368304315
1300.0,86934.43602845223,86934.3985545373,86934.43602629233
1400.0,85903.76476900362,85903.72062476643,85903.76476669496
1500.0,84883.54142579003,84883.49186927167,84883.54142333497
1600.0,83873.67810805264,83873.62469172258,83873.67810545354
1700.0,82874.08751227683,82874.0319892457,82874.08750953601
1800.0,81884.68291928839,81884.6271524245,81884.68291640811
1900.0,80905.37819135902,80905.32406529934,80905.37818834158
2000.0,79936.08776932124,79936.03710536759,79936.0877661689
2100.0,78976.72666969245,78976.68114358351,78976.72666640744
2200.0,78027.21048180827,78027.17154435831,78027.21047839281
2300.0,77087.4553649652,77087.42416556017,77087.45536142145
2400.0,76157.37804557233,76157.35535851415,76157.3780419025
2500.0,75236.89581431253,75236.88196800227,75236.89581051875
2600.0,74325.9265233126,74325.92133226353,74325.92651939699
2700.0,73424.38858332273,73424.39128299383,73424.38857928739
2800.0,72532.20096090509,72532.210145346,72532.20095675213
2900.0,71649.28317563166,71649.29673792984,71649.28317136312
3000.0,70775.55529729111,70775.57037281204,70775.55529290905
